job_id,skill
train-3093,excel
train-3093,communication
train-3094,python
train-3094,java
train-3094,machine learning
train-3100,sql
train-3100,machine learning
train-3101,tableau
train-3109,machine learning
train-3119,sql
train-3119,excel
train-3123,python
train-3123,communication
train-3123,project management
train-3125,machine learning
train-3134,sql
train-3134,power bi
train-3134,communication
train-3138,sql
train-3138,javascript
train-3140,java
train-3142,python
train-3142,machine learning
train-3145,communication
train-3150,sql
train-3152,project management
train-3158,python
train-3158,excel
train-3161,python
train-3161,java
train-3163,communication
train-3165,sql
train-3167,python
train-3167,communication
train-3171,java
train-3171,aws
train-3172,machine learning
train-3186,java
train-3191,java
train-3191,communication
train-3192,communication
train-3193,sql
train-3195,data analysis
train-3217,project management
train-3220,python
train-3220,sql
train-3220,java
train-3220,aws
train-3222,communication
train-3228,communication
train-3232,sql
train-3232,excel
train-3232,tableau
train-3234,python
train-3234,machine learning
train-3237,python
train-3237,machine learning
train-3238,azure
train-3245,python
train-3245,java
train-3248,sql
train-3250,machine learning
train-3252,machine learning
train-3254,data analysis
train-3256,excel
train-3273,python
train-3273,machine learning
train-3284,python
train-3284,sql
train-3284,machine learning
train-3284,data analysis
train-3286,data analysis
train-3294,sql
train-3302,java
train-3302,javascript
train-3305,java
train-3305,javascript
train-3305,communication
train-3313,sql
train-3317,communication
train-3328,python
train-3328,machine learning
train-3333,sql
train-3334,java
train-3336,project management
train-3337,project management
train-3340,communication
train-3341,java
train-3341,javascript
train-3347,sql
train-3347,data analysis
train-3350,python
train-3350,sql
train-3353,javascript
train-3355,javascript
train-3357,python
train-3357,java
train-3357,javascript
train-3357,azure
train-3361,project management
train-3362,machine learning
train-3368,power bi
train-3369,python
train-3369,java
train-3373,java
train-3374,machine learning
train-3374,data analysis
train-3383,machine learning
train-3384,python
train-3384,java
train-3384,machine learning
train-3386,machine learning
train-3392,project management
train-3395,python
train-3395,django
train-3397,sql
train-3402,excel
train-3409,communication
train-3420,azure
train-3424,sql
train-3424,excel
train-3424,tableau
train-3425,excel
train-3425,data analysis
train-3429,excel
train-3432,sql
train-3432,data analysis
train-3446,machine learning
train-3450,java
train-3461,communication
train-3465,sql
train-3465,java
train-3465,javascript
train-3468,javascript
train-3468,git
train-3470,project management
train-3477,sql
train-3477,java
train-3479,javascript
train-3487,java
train-3490,data analysis
train-3499,python
train-3499,azure
train-3499,machine learning
train-3500,sql
train-3500,excel
train-3500,data analysis
train-3501,python
train-3501,java
train-3501,node.js
train-3501,aws
train-3503,data analysis
train-3503,project management
train-3511,javascript
train-3514,sql
train-3514,excel
train-3514,data analysis
train-3518,tableau
train-3518,azure
train-3518,machine learning
train-3523,sql
train-3524,sql
train-3524,java
train-3524,javascript
train-3525,tableau
train-3526,java
train-3531,project management
train-3532,communication
train-3533,communication
train-3535,python
train-3555,sql
train-3555,communication
train-3558,data analysis
train-3559,sql
train-3560,excel
train-3563,machine learning
train-3566,java
train-3567,sql
train-3567,excel
train-3567,data analysis
train-3571,project management
train-3576,python
train-3576,communication
train-3576,project management
train-3578,communication
train-3581,python
train-3586,javascript
train-3600,javascript
train-3603,machine learning
train-3615,sql
train-3626,python
train-3632,sql
train-3632,excel
train-3632,java
train-3634,sql
train-3644,data analysis
train-3648,data analysis
train-3649,sql
train-3654,sql
train-3654,java
